1,Mouse Gamer 1,Categoria Periféricos,312.91,41
2,Teclado Mecânico 2,Categoria Periféricos,765.6,40
3,SSD 1TB 3,Categoria Armazenamento,663.37,46
4,Placa de Vídeo RX 7600 4,Categoria Hardware,1272.06,42
5,Headset 7.1 5,Categoria Áudio,1338.35,19
6,Fonte 600W 6,Categoria Energia,960.31,24
7,Gabinete Gamer 7,Categoria Hardware,1579.8,26
8,HD 2TB 8,Categoria Armazenamento,457.91,45
9,Webcam Full HD 9,Categoria Periféricos,994.46,30
10,Cooler ARGB 10,Categoria Hardware,1289.84,19
11,Mouse Gamer 11,Categoria Periféricos,1749.29,28
12,Teclado Mecânico 12,Categoria Periféricos,798.68,44
13,SSD 1TB 13,Categoria Armazenamento,1900.0,30
14,Placa de Vídeo RX 7600 14,Categoria Hardware,1326.99,41
15,Headset 7.1 15,Categoria Áudio,1463.23,42
16,Fonte 600W 16,Categoria Energia,1183.52,16
17,Gabinete Gamer 17,Categoria Hardware,1041.94,17
18,HD 2TB 18,Categoria Armazenamento,1571.44,39
19,Webcam Full HD 19,Categoria Periféricos,1813.84,14
20,Cooler ARGB 20,Categoria Hardware,1553.25,10
21,Mouse Gamer 21,Categoria Periféricos,954.94,38
22,Teclado Mecânico 22,Categoria Periféricos,570.68,32
23,SSD 1TB 23,Categoria Armazenamento,1679.28,28
24,Placa de Vídeo RX 7600 24,Categoria Hardware,1276.68,22
25,Headset 7.1 25,Categoria Áudio,691.89,31
26,Fonte 600W 26,Categoria Energia,879.90,27
27,Gabinete Gamer 27,Categoria Hardware,1478.22,25
28,Mouse Gamer Pro,Categoria Periféricos,1342.00,33
29,SSD NVMe 2TB,Categoria Armazenamento,1822.55,48
30,Placa-mãe B550,Categoria Hardware,1321.99,21
31,Fone Bluetooth Pro,Categoria Áudio,692.12,36
32,Fonte Modular 750W,Categoria Energia,1257.65,17
33,Water Cooler 240mm,Categoria Hardware,1122.49,23
34,Webcam 4K Pro,Categoria Periféricos,1425.73,11
35,Teclado RGB ABNT2,Categoria Periféricos,846.77,20
36,HD Externo 1TB,Categoria Armazenamento,672.83,38
37,Mousepad Gamer XL,Categoria Periféricos,239.99,50
38,SSD SATA 512GB,Categoria Armazenamento,524.00,45
39,Placa de Vídeo RTX 4060,Categoria Hardware,1990.00,18
40,Headset Wireless,Categoria Áudio,989.50,26
41,Fonte 500W,Categoria Energia,699.00,34
42,Gabinete com Vidro Temperado,Categoria Hardware,1285.25,20
43,Switch USB 4 Portas,Categoria Periféricos,129.90,40
44,Controle Xbox PC,Categoria Periféricos,399.99,28
45,SSD Externo 1TB,Categoria Armazenamento,899.90,31
46,Mouse Ergonômico,Categoria Periféricos,285.90,46
47,Webcam HD 720p,Categoria Periféricos,312.00,43
48,Cooler Master RGB,Categoria Hardware,1399.00,15
49,HD 1TB SATA,Categoria Armazenamento,479.90,49
50,Headset com Cancelamento de Ruído,Categoria Áudio,1155.00,22
